ID,Team1,Team2
829735,RR,CSK
829737,RCB,MI
829731,SRH,DD
829733,KXIP,KKR
829729,MI,CSK
829727,SRH,RR
829725,KXIP,DD
829721,RR,MI
829719,RCB,SRH
829715,DD,RR
829717,MI,KXIP
829711,CSK,SRH
829713,KKR,RCB
829709,KXIP,RR
829707,CSK,DD
829705,KKR,MI
734049,KKR,KXIP
734047,CSK,KXIP
734045,CSK,MI
734043,KXIP,KKR
734039,KXIP,DD
734041,MI,RR
734035,RCB,CSK
734037,KKR,SRH
734031,MI,DD
734033,KXIP,RR
734027,KKR,RCB
734029,CSK,SRH
734025,KXIP,MI
734021,SRH,RCB
734023,KKR,CSK
734017,RR,MI
734019,DD,KXIP
734013,CSK,RCB
734015,SRH,KKR
734011,RR,DD
734007,SRH,KXIP
734009,KKR,MI
734003,CSK,RR
734005,RCB,DD
734001,SRH,MI
733997,KXIP,KKR
733999,RCB,RR
733993,DD,SRH
733995,MI,CSK
733991,RCB,KXIP
733989,RR,SRH
733985,DD,KKR
733987,KXIP,CSK
733983,MI,RCB
733979,RR,KKR
733981,DD,CSK
733977,RCB,SRH
733973,MI,KXIP
733975,DD,RR
733971,CSK,KKR
729317,MI,SRH
729315,KKR,RR
729313,KXIP,RCB
729309,DD,MI
729311,SRH,CSK
729305,RR,RCB
729307,KKR,KXIP
729301,SRH,DD
729303,CSK,MI
729299,RCB,KKR
729297,RR,CSK
729295,KXIP,SRH
729293,CSK,DD
729291,RR,KXIP
729287,RCB,MI
729289,KKR,DD
729283,CSK,KXIP
729285,SRH,RR
729281,DD,RCB
729279,MI,KKR
598073,CSK,MI
598072,MI,RR
598071,RR,SRH
598070,CSK,MI
598067,PW,DD
598069,SRH,KKR
598066,KXIP,MI
598068,RCB,CSK
598065,SRH,RR
598028,KXIP,DD
598061,KKR,PW
598063,MI,RR
598045,RCB,KXIP
598062,CSK,DD
598060,MI,SRH
598057,KKR,RCB
598058,RR,CSK
598055,PW,MI
598056,KXIP,SRH
598054,DD,RCB
598052,KXIP,RR
598053,PW,KKR
598051,SRH,CSK
598049,RR,DD
598050,MI,KKR
598064,KXIP,RCB
598046,MI,CSK
598047,RR,PW
598044,SRH,DD
598043,KKR,RR
598041,CSK,KXIP
598042,PW,RCB
598039,SRH,MI
598040,DD,KKR
598038,PW,CSK
598036,RR,RCB
598037,MI,KXIP
598034,CSK,KKR
598035,DD,PW
598032,RR,SRH
598033,MI,RCB
598031,KKR,KXIP
598030,CSK,SRH
598029,KKR,MI
598027,RCB,PW
598059,DD,KXIP
598026,CSK,RR
598024,DD,MI
598025,KXIP,PW
598022,KKR,CSK
598023,RCB,RR
598021,SRH,KXIP
598020,DD,CSK
598018,PW,SRH
598019,RR,MI
598016,KXIP,KKR
598017,RCB,DD
598015,CSK,PW
598013,KKR,SRH
